ID	Score	Grade
20250083	100	A
20250055	100	B
20250032	99	B
20250002	98	B
20250077	98	B
20250033	97	B
20250007	96	C
20250035	96	C
20250044	96	C
20250022	95	C
20250034	95	C
20250043	95	C
20250057	95	C
20250087	94	D
20250050	93	D
20250009	93	D
20250066	93	D
20250075	92	D
20250100	92	D
20250052	91	D
20250023	91	D
20250026	91	D
20250045	89	D
20250051	89	D
20250056	89	D
20250094	88	D
20250090	87	D
20250038	87	D
20250072	86	D
20250016	85	D
20250015	85	D
20250093	84	D
20250060	84	D
20250047	84	D
20250069	84	D
20250019	84	D
20250059	83	D
20250091	83	D
20250078	82	D
20250085	80	D
20250070	80	D
20250029	80	D
20250063	80	D
20250012	79	D
20250058	79	D
20250096	79	D
20250089	79	D
20250027	79	D
20250014	78	D
20250018	78	D
20250092	78	D
20250061	78	D
20250082	77	D
20250031	77	D
20250042	76	D
20250004	76	D
20250028	75	D
20250068	74	D
20250076	73	D
20250071	72	D
20250081	71	D
20250021	71	D
20250040	71	D
20250099	70	D
20250020	70	D
20250030	70	D
20250048	70	D
20250001	69	D
20250062	68	D
20250011	67	D
20250067	66	D
20250065	65	D
20250095	65	D
20250024	65	D
20250013	65	D
20250041	63	D
20250079	63	D
20250054	63	D
20250053	63	D
20250008	61	D
20250098	61	D
20250025	61	D
20250074	60	D
20250037	59	D
20250088	59	D
20250064	57	D
20250036	57	D
20250006	56	D
20250049	54	D
20250097	54	D
20250039	53	D
20250084	53	D
20250010	53	D
20250005	53	D
20250086	52	D
20250080	52	D
20250003	51	D
20250017	50	D
20250073	50	D
20250046	50	D
